ID,Título do caso de teste,Etapas do teste,Dados do teste (corpo da solicitação),Resultado esperado,Resultado real,Status,Link para o relatório de bug
,PARÂMETRO NAME,,,,,,
GCU10,É possível validar o parâmetro name com string letras latinas.,1. Envie uma solicitação POST para /register com uma string letras latinas no corpo da solicitação.,"{
    ""name"": ""Green Cycle da Silva"",
    ""email"": ""greencycle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345678909,

    ""telefone"": 21978654321
  }",200 OK,200 OK,APROVADO,
GCU11,Não é possível validar o parâmetro name com string de mais de 40 caracteres. ,1. Envie uma solicitação POST para /register com mais de 40 caracteres no corpo da solicitação.,"{
    ""name"": ""Green Cycle da Silva de MoraesSouza Guilhermino VierinhaVambora"",
    ""email"": ""greencyclevambora@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345678907,

    ""telefone"": 21978654321
  }",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-3
GCU12,Não é possível validar o parâmetro name vazio.,1. Envie uma solicitação POST para /register com o parâmetro name vazio.,"{
    ""name"": null,
    ""email"": ""greencycleva@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345678904,

    ""telefone"": 21978654321
  }",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-4
GCU13,Não é possível validar o parâmetro name com number.,1. Envie uma solicitação POST para /register com um número no corpo da solicitação.,"{
    ""name"": 25893678541200,
    ""email"": ""greencyclevoa@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345478904,

    ""telefone"": 21978654321
  }",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-5
GCU14,É possível validar o parâmetro name com caractere traço.,1. Envie uma solicitação POST para /register com o caractere traço no parâmetro name.,"{
    ""name"": ""Green-Cycle-Souza"",
    ""email"": ""greencyclevoar@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345478704,

    ""telefone"": 21978654321
  }",200 OK,200 OK,APROVADO,
GCU15,Não é possível validar o parâmetro name com outros caracteres especiais.,1. Envie uma solicitação POST para /register com o caractere especial no parâmetro name.,"{
    ""name"": ""Green Cycle da Silv@"",
    ""email"": ""greencycle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345678909,

    ""telefone"": 21978654321
  }",200 OK,200 OK,APROVADO,
GCU16,Não é possível validar a solicitação sem o parâmetro name.,1. Envie uma solicitação POST para /register com o parâmetro name apagado.,"{
    ""email"": ""greencyclevoir@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345378704,

    ""telefone"": 21978654321
  }",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-6
GCU17,É possível validar o parâmetro name sem espaços.,1. Envie uma solicitação POST para /register com um nome sem espaços no corpo da solicitação.,"{
    ""name"": ""GreenCycledaSilva"",
    ""email"": ""greencycl3e@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345378909,

    ""telefone"": 21978654321
}",200 OK,200 OK,APROVADO,
GCU18,É possível validar o parâmetro name com espaços.,1. Envie uma solicitação POST para /register com um nome com espaços no corpo da solicitação.,"{
    ""name"": ""Green Cycle da Silva"",
    ""email"": ""greencycle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 12345678909,

    ""telefone"": 21978654321
  }",200 OK,200 OK,APROVADO,
,PARÂMETRO CPF,,,,,,
GCU19,É possível validar o parâmetro cpf com 11 caracteres.,1. Envie uma solicitação POST para /register com um cpf com 11 caracteres no corpo da solicitação.,"{
    ""name"": ""Green Cycle Souzinha"",
    ""email"": ""greencyclesouzinha@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 24587921300,

    ""telefone"": 22998877541
}",200 OK,200 OK,APROVADO,
GCU20,Não é possível validar o parâmetro cpf com 9 caracteres.,1. Envie uma solicitação POST para /register com um cpf com 9 caracteres no corpo da solicitação.,"{
    ""name"": ""Green Cycle Souz"",
    ""email"": ""greencyclesouz@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 245879211,

    ""telefone"": 22998877541
}",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-7
GCU21,Não é possível validar o parâmetro cpf com string letras latinas.,1. Envie uma solicitação POST para /register com uma string no parâmetro cpf.,"{
    ""name"": ""Green Cycle Vieira S"",
    ""email"": ""greencyclev2@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": ""greenvieira"",

    ""telefone"": 22998877641
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU22,Não é possível validar o parâmetro cpf com string caracteres especiais.,1. Envie uma solicitação POST para /register com uma string de caracteres especiais no parâmetro cpf.,"{
    ""name"": ""Green Cycle Vieira Soares"",
    ""email"": ""greencyclev5@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": ""@@@//--@@@-"",

    ""telefone"": 22998577641
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU23,Não é possível validar a solicitação com o parâmetro cpf vazio.,1. Envie uma solicitação POST para /register com o parâmetro cpf vazio.,"{
    ""name"": ""Green Cycle Vieira Soares"",
    ""email"": ""greencyclev5@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": null,

    ""telefone"": 22998577641
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU24,Não é possível validar a solicitação sem o parâmetro cpf.,1. Envie uma solicitação POST para /register sem o parâmetro cpf.,"{
    ""name"": ""Green Cycle Vieira Soares"",
    ""email"": ""greencyclevs@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",


    ""telefone"": 22998577641
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU25,Não é possível validar a solicitação com o parâmetro cpf como objeto,1. Envie uma solicitação POST para /register com o parâmetro cpf como objeto.,"{
    ""name"": ""Green Cycle Vieira Soars"",
    ""email"": ""greencyclev7@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": {},

    ""telefone"": 22998577641
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
,PARÂMETRO EMAIL,,,,,,
GCU26,É possível validar o parâmetro email com caractere especial @.,1. Envie uma solicitação POST para /register com o caractere especial @ no parâmetro email.,"{
    ""name"": ""Green Cycle Souzinha"",
    ""email"": ""greencyclesouzinha@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 24587921300,

    ""telefone"": 22998877541
}",200 OK,200 OK,APROVADO,
GCU27,É possível validar parâmetro email com ponto.,1. Envie uma solicitação POST para /register com o caractere ponto no parâmetro email.,"{
    ""name"": ""Green Cycle Junior"",
    ""email"": ""green.cyclev9@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 96300258741,

    ""telefone"": 22998517641
}",200 OK,200 OK,APROVADO,
GCU28,Não é possível validar o parâmetro email sem o caractere especial @.,1. Envie uma solicitação POST para /register sem o caractere especial @ no parâmetro email.,"{
    ""name"": ""Green Cycle da Silva"",
    ""email"": ""silvaesilvagmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 97865421300,

    ""telefone"": 21978654321
  }",400 Bad Request,400 Bad Request,APROVADO,
GCU29,Não é possível validar a solicitação com o parâmetro email vazio.,1. Envie uma solicitação POST para /register com o parâmetro email vazio.,"{
    ""name"": ""Green Cycle Juniors"",
    ""email"": null,
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 96300256741,

    ""telefone"": 22998417641
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU30,Não é possível validar o parâmetro email com mais de 50 caracteres.,1. Envie uma solicitação POST para /register com o parâmetro email com mais de 50 caracteres.,"{
    ""name"": ""Green Cycle Juniors"",
    ""email"": ""greengreengreengreencyclecyclecyclejuninhodasilvavieirasouza@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 96340256741,

    ""telefone"": 22928417641
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU31,Não é possível validar o parâmetro email com menos de 5 caracteres.,1. Envie uma solicitação POST para /register com o parâmetro email com menos de 5 caracteres.,"{
    ""name"": ""Green Cycle Juniors"",
    ""email"": ""gr@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 96340256741,

    ""telefone"": 22928417641
}",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-8
GCU32,É possível validar o parâmetro email com caractere especial hífen.,1. Envie uma solicitação POST para /register com o parâmetro email com caractere especial hífen.,"{
    ""name"": ""Green Cycle Rodrigues"",
    ""email"": ""gr-een-cy-cle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 96340253741,

    ""telefone"": 24928417641
}",200 OK,200 OK,APROVADO,
GCU33,Não é possível validar o parâmetro email com number.,1. Envie uma solicitação POST para /register com o parâmetro email com number.,"{
    ""name"": ""Green Cycle Rodriguess"",
    ""email"": 123456,
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 96340253741,

    ""telefone"": 24928417641
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU34,Não é possível validar a solicitação sem o parâmetro email.,1. Envie uma solicitação POST para /register sem o parâmetro email.,"{
    ""name"": ""Green Cycle Rodriguess"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 96340253741,

    ""telefone"": 24928417641
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
,PARÂMETRO TELEFONE,,,,,,
GCU35,É possível validar o parâmetro telefone com number.,1. Envie uma solicitação POST para /register com o parâmetro telefone com number.,"{
    ""name"": ""Green Cycle Souzinha"",
    ""email"": ""greencyclesouzinha@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 24587921300,

    ""telefone"": 22998877541
}",200 OK,200 OK,APROVADO,
GCU36,Não é possível validar o parâmetro telefone com string letras latinas.,1. Envie uma solicitação POST para /register com o parâmetro telefone com uma string letras latinas.,"{
    ""name"": ""Green Cycle Rodriigues"",
    ""email"": ""green-cy-cle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 96340252741,

    ""telefone"": ""alougreen""
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU37,É possível validar o parâmetro telefone com 11 caracteres.,1. Envie uma solicitação POST para /register com o parâmetro telefone com 11 caracteres,"{
    ""name"": ""Green Cycle Souzinha"",
    ""email"": ""greencyclesouzinha@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 24587921300,

    ""telefone"": 22998877541
}",200 OK,200 OK,APROVADO,
GCU38,Não é possível validar o parâmetro telefone com menos de 11 caracteres.,1. Envie uma solicitação POST para /register com o parâmetro telefone com menos de 11 caracteres,"{
    ""name"": ""Green Cycle da Silva"",
    ""email"": ""greensilva@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 97865421301,

    ""telefone"": 21978
  }",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-9
GCU39,Não é possível validar o parâmetro telefone com mais de 11 caracteres,1. Envie uma solicitação POST para /register com o parâmetro telefone com mais de 11 caracteres,"{
    ""name"": ""Green Cycle Rodriigues"",
    ""email"": ""green-cy-cle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 96340252741,

    ""telefone"": 552199888775541
}",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-10
GCU40,Não é possível validar o parâmetro telefone vazio.,1. Envie uma solicitação POST para /register com o parâmetro telefone vazio,"{
    ""name"": ""Green Cycle Rodriigues"",
    ""email"": ""greency-cle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 96340252741,

    ""telefone"": null
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU41,Não é possível validar a solicitação sem o parâmetro telefone.,"1. Envie uma solicitação POST para /register sem o parâmetro telefone
","{
    ""name"": ""Green Cycle Rodriigues"",
    ""email"": ""greency-cle@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": ""Green-cycl3"",
    ""cpf"": 96340252741

}",500 Internal Server Error,500 Internal Server Error,APROVADO,
,PARÂMETROS PASSWORD E CONFIRMPASSWORD,,,,,,
GCU42,É possível validar os parâmetros de senha e confirmação de senha com 10 caracteres.,"1. Envie uma solicitação POST para /register com 10 caracteres nos parâmetros password e confirmPassword.
","{
    ""name"": ""Green Cycle Rodriiggues"",
    ""email"": ""greeny-cle@gmail.com"",
    ""password"": ""Gree-cycl3"",
    ""confirmPassword"": ""Gree-cycl3"",
    ""cpf"": 85275641300,

    ""telefone"": 24558877997
}",200 OK,200 OK,APROVADO,
GCU43,Não é possível validar os parâmetros de senha e confirmação de senha com menos de 10 caracteres.,1. Envie uma solicitação POST para /register com menos de 10 caracteres nos parâmetros password e confirmPassword.,"{
    ""name"": ""Green  Rodriiggues"",
    ""email"": ""greny-cle@gmail.com"",
    ""password"": ""G-c3"",
    ""confirmPassword"": ""G-c3"",
    ""cpf"": 85275621300,

    ""telefone"": 24558877997
}",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-11
GCU44,Não é possível validar os parâmetros de senha e confirmação de senha com mais de 15 caracteres.,1. Envie uma solicitação POST para /register com mais de 15 caracteres nos parâmetros password e confirmPassword.,"{
    ""name"": ""Green Santos"",
    ""email"": ""greny-cle6@gmail.com"",
    ""password"": ""Issoaquitem-maisde15"",
    ""confirmPassword"": ""Issoaquitem-maisde15"",
    ""cpf"": 85275621200,

    ""telefone"": 24558877997
}",400 Bad Request,200 OK,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-12
GCU45,Não é possível validar os parâmetros de senha e confirmação de senha somente com string letra latina maiúscula.,1. Envie uma solicitação POST para /register com uma string somente com letras maiúculas nos parâmetros password e confirmPassword.,"{
    ""name"": ""Green Santo Junqueiro"",
    ""email"": ""greny-cl8e6@gmail.com"",
    ""password"": ""SOMAIUSCULO"",
    ""confirmPassword"": ""SOMAIUSCULO"",
    ""cpf"": 85275621200,

    ""telefone"": 24558877997
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU46,Não é possível validar os parâmetros de senha e confirmação de senha somente com string letra latina minúscula.,1. Envie uma solicitação POST para /register com uma string somente com letras minúsculas nos parâmetros password e confirmPassword.,"{
    ""name"": ""Green Junqueiro"",
    ""email"": ""greny-cl9e6@gmail.com"",
    ""password"": ""sominusculo"",
    ""confirmPassword"": ""sominusculo"",
    ""cpf"": 85275621200,

    ""telefone"": 24558877997
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU47,Não é possível validar os parâmetros de senha e confirmação de senha somente com string caracteres especiais,1. Envie uma solicitação POST para /register com uma string somente com caracteres especiais nos parâmetros password e confirmPassword.,"{
    ""name"": ""Green Junqueiro"",
    ""email"": ""greny-cl9e6@gmail.com"",
    ""password"": ""---@@@///--"",
    ""confirmPassword"": ""---@@@///--"",
    ""cpf"": 85275621200,

    ""telefone"": 24558877997
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU48,Não é possível validar os parâmetros de senha e confirmação de senha somente com números,1. Envie uma solicitação POST para /register com uma string somente com números nos parâmetros password e confirmPassword.,"{
    ""name"": ""Green Junqueiro"",
    ""email"": ""greny-cl9e6@gmail.com"",
    ""password"": ""1234567890"",
    ""confirmPassword"": ""1234567890"",
    ""cpf"": 85275621200,

    ""telefone"": 24558877997
}",400 Bad Request,,BLOQUEADO,"A solicitação é enviada, mas não retorna resposta, continua enviando a solicitação."
GCU49,Não é possível validar o parâmetro password vazio.,1. Envie uma solicitação POST para /register com o parâmetro password vazio.,"{
    ""name"": ""Green Junqueiro"",
    ""email"": ""greny-cl9e6@gmail.com"",
    ""password"": null,
    ""confirmPassword"": ""Green-cycle3"",
    ""cpf"": 85275621200,

    ""telefone"": 24558877997
}",400 Bad Request,400 Bad Request,APROVADO,
GCU50,Não é possível validar a solicitação sem o parâmetro password.,1. Envie uma solicitação POST para /register sem o parâmetro password.,"{
    ""name"": ""Green Junqueiro"",
    ""email"": ""greny-cl9e6@gmail.com"",
    ""confirmPassword"": ""Green-cycle3"",
    ""cpf"": 85275621200,

    ""telefone"": 24558877997
}",400 Bad Request,400 Bad Request,APROVADO,
GCU51,Não é possível validar o parâmetro confirmPassword vazio.,1. Envie uma solicitação POST para /register com o parâmetro confirmPassword.,"{
    ""name"": ""Green Junqueiro"",
    ""email"": ""greny-cl9e6@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""confirmPassword"": null,
    ""cpf"": 85275621200,

    ""telefone"": 24558877997
}",400 Bad Request,400 Bad Request,APROVADO,
GCU52,Não é possível validar a solicitação sem o parâmetro confirmPassword.,1. Envie uma solicitação POST para /register sem o parâmetro confirmPassword.,"{
    ""name"": ""Green Junqueiro"",
    ""email"": ""greny-cl9e6@gmail.com"",
    ""password"": ""Green-cycl3"",
    ""cpf"": 85275621200,

    ""telefone"": 24558877997
}",400 Bad Request,400 Bad Request,APROVADO,
,Requisito 2: /login,,,,,,
GCU53,Não é possível fazer login com um e-mail diferente do cadastrado.,1. Envie uma solicitação POST para /login com um email não cadastrado.,"{
 ""email"": ""greensquare@gmail.com"",
 ""password"": ""Green-cycl3""
}",400 Bad Request,500 Internal Server Error,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-13
GCU54,Não é possível fazer login com uma senha diferente da cadastrada.,1. Envie uma solicitação POST para /login com uma senha não cadastrada.,"{
 ""email"": ""greencycle@gmail.com"",
 ""password"": ""Green@cycl3""
}",400 Bad Request,500 Internal Server Error,REPROVADO,https://lunamarinab.atlassian.net/browse/RDBGC-14
GCU55,É possível fazer login somente com dados cadastrados corretamente.,1. Envie uma solicitação POST para /login com dados  válidos nos parâmetros email e password.,"{
 ""email"": ""greencycle@gmail.com"",
 ""password"": ""Green-cycl3""
}",,,APROVADO,
